# BigMetaTable memory/storage audit for prepareML_fullvalid.py's pipeline.
"# Sizing assumptions: N=80,000,000 rows; C=150 table columns; NCOMP=60 components; NPHASE=20 phases (all as given)."
"# Additional fill-in assumptions (not user-specified, needed to size features.npy): NEL=NOX=14 (from constants.default_Elkeys), FEATURE_OFFSET=3 (P/T/fO2), SAMPLE_NO=1 (no resample-multiplier expansion)."
# dtype: self.table and every *_labels.npy/features.npy/labels.npy/molar array = float32 (4B); metadata vocab-code arrays = int32 (4B); boolean masks = 1B/element.
"# GB = 1e9 bytes (decimal). 'Def File/Line/Code' = where the operation is implemented. 'Call File/Line(s)/Code' = the nearest actual invocation site in the codebase (may be prepareML_fullvalid.py for top-level ops, or the calling function for nested helpers)."
# Generated 2026-07-08.
""
Operation,Frequency / Count (per full Train+Test run),Def File,Def Line,Def Code,Call File,Call Line(s),Call Code,"In-RAM Products (name: shape, dtype)",In-RAM Peak Footprint,"On-Disk Products (name: shape, dtype)",On-Disk Footprint,Notes / Memory Risk
BigMetaTable.__init__ (CSV->memmap load + metadata vocab-coding),2x (once per Train/Test BigMetaTable built),src/builder/processing/BigMetaTable.py,101,"def __init__(self, filename, read_dir=None, memmap_mode='r+', rebuild_memmap=False, ...):",src/builder/processing/prepareML_fullvalid.py,"251, 391","TrainMELTS = BigMetaTable(TrainName, read_dir=read_dir, ...)  |  TestMELTS = BigMetaTable(ValidName, read_dir=read_dir, ...)","5x int32 vocab-code arrays (run_indices, MELTSversion, _metadata_codes, _value_codes, _run_id_codes), shape (N,) each; plus small distinct-value vocab string tables",1.60 GB resident for the lifetime of the object (not memmapped),"self.table memmap (N, C) float32; .csv/.txt source files",48.00 GB,"SAFE for the table itself (memmap). The 5 metadata arrays are genuinely RAM-resident (by design, replacing a much worse per-row string array -- see BigMetaTable.py:268-292 comment) but that's still ~1.6GB/table permanently held."
"_csv_to_memmap (raw CSV -> float32 memmap, chunked)",2x (only when memmap doesn't already exist / rebuild_memmap=True),src/builder/processing/BigMetaTable.py,436,"def _csv_to_memmap(self, chunk_size=None):",src/builder/processing/BigMetaTable.py,175,self._csv_to_memmap(chunk_size=self.chunk_size),buffer: list of up to chunk_size python-float rows (bounded),"O(chunk_size x C) -- bounded, not row-count dependent","memmap_file (N, C) float32",48.00 GB,SAFE: builds the table chunk-by-chunk. This is the on-disk product the whole pipeline builds on.
"DatasetIndexer.__init__ / MLIndexer build (compToOxLoad, OxToEl, MM, etc.)","2x (built inside every BigMetaTable.__init__ call), plus rebuilt on column-count changes (recover_untracked_phases graphite-append path)",src/builder/indexer.py,170,"def __init__(self, headers: List[str], ...):",src/builder/processing/BigMetaTable.py,"166, 216","self.indexer = DatasetIndexer(self.header, MODEL=self.Model, OXYGEN=self.OXYGEN)","compToOxLoad (NCOMP x NOX), OxToEl (NOX x NEL), MM (NOX x NOX diag), and similar small matrices","< 0.01 GB -- scales with column/oxide/component counts only, not row count",none,0 GB,"SAFE: every matrix here is header/schema-sized, independent of N."
.exclude_oxides() -> indexer.table_update() -> exclude_zero_sum_components/oxides,"Train: 1x (line 254, config-gated). Test: only under --skip-train (line 399); normal path instead assigns TestMELTS.indexer = TrainIndexer (line 402-403, no re-scan)",src/builder/processing/BigMetaTable.py,921,"def exclude_oxides(self, oxides, tolerance=1e-10):",src/builder/processing/prepareML_fullvalid.py,"254, 399",TrainMELTS.exclude_oxides(excluded_oxides_cfg),"column_sums (C,) float64, column_has_positive (C,) bool -- accumulated chunk-wise",< 0.01 GB,none,0 GB,SAFE: src/builder/indexer.py:565-572 explicitly chunks the column-wise abs-sum instead of np.abs(data_matrix) over the whole table (that comment calls out the exact full-table-copy failure mode this avoids).
.filter_inconsistent_phase_data(),2x (Train + Test),src/builder/processing/BigMetaTable.py,1057,"def filter_inconsistent_phase_data(self, chunk_size=None):",src/builder/processing/prepareML_fullvalid.py,"262, 409",TrainMELTS.filter_inconsistent_phase_data()  |  TestMELTS.filter_inconsistent_phase_data(),"delete_mask (N,) bool",0.08 GB,none directly (calls .delete() on any flagged rows -- see that row),0 GB,SAFE: single chunked pass building one N-length bool mask (BigMetaTable.py:1108-1133); phases are the inner loop so the table is only read once regardless of phase count.
.recover_untracked_phases(),0-2x (config-gated: preprocessing.recover_untracked_phases),src/builder/processing/BigMetaTable.py,1714,def recover_untracked_phases(self):,src/builder/processing/prepareML_fullvalid.py,"268, 414",TrainMELTS.recover_untracked_phases()  |  TestMELTS.recover_untracked_phases(),"has_graphite/has_hornblende/do_recovery (N,) bool; several (n_target, n_ox) float64 arrays bounded by n_target (rows actually needing recovery, usually a small fraction of N)","0.24 GB for the N-length masks; the (n_target, *) arrays are cheap unless n_target approaches N",conditionally appends a 'mass (gm)(graphite)' column to self.table,0 GB extra (in place) in the common case,"PERFORMANCE RISK (not memory): BigMetaTable.py:1751 is a pure-Python for-loop over all N rows to classify metadata, unavoidable at this scale without vectorizing the vocab lookup. MEMORY RISK: if the graphite column doesn't already exist, BigMetaTable.py:1973 (`new_mm[:, :old_ncols] = self.table`) copies the ENTIRE table in one shot to add the new column -- a non-chunked full (N,C) read+write, i.e. another 48.00 GB pass with no chunking, on top of the already-open memmap."
.separate_analcime(),2x (Train + Test),src/builder/processing/BigMetaTable.py,1314,def separate_analcime(self):,src/builder/processing/prepareML_fullvalid.py,"270, 416",TrainMELTS.separate_analcime()  |  TestMELTS.separate_analcime(),"2-3 full single-column reads over N rows (leucite mass/component, analcime mass) via BigMetaTable.py:1344-1360",0.96 GB,none (in-place column writes for move_rows subset only),0 GB,"MODERATE: not chunked, but bounded to a handful of whole single-column reads (~1GB total @ 80M rows), not a (N x width) array. Low risk in absolute terms."
.separate_k_feldspar(),2x (Train + Test),src/builder/processing/BigMetaTable.py,1397,def separate_k_feldspar(self):,src/builder/processing/prepareML_fullvalid.py,"272, 418",TrainMELTS.separate_k_feldspar()  |  TestMELTS.separate_k_feldspar(),"2-3 full single-column reads over N rows (plagioclase mass/sanidine, destination mass) via BigMetaTable.py:1451-1468",0.96 GB,none (in-place column writes for move_rows subset only),0 GB,"MODERATE: same pattern as separate_analcime -- a few full single-column reads, not a full-width array."
.filter_full_metadata(),2x (Train + Test),src/builder/processing/BigMetaTable.py,1156,def filter_full_metadata(self):,src/builder/processing/prepareML_fullvalid.py,"274, 420",TrainMELTS.filter_full_metadata()  |  TestMELTS.filter_full_metadata(),"mask_keep (N,) bool, built by broadcasting a small per-vocab-entry classification through _metadata_codes",0.08 GB,none directly,0 GB,SAFE: explicitly avoids materializing self.metadata (the full per-row string array) per the docstring/comment at BigMetaTable.py:1158-1162.
filter_bulk_composition_mismatch(),2x (Train + Test),src/builder/processing/filters.py,376,"def filter_bulk_composition_mismatch(MetaTable, indexer=None, tolerance_ppm=5000, chunk_size=100_000):",src/builder/processing/prepareML_fullvalid.py,"287, 455",filter_bulk_composition_mismatch(TrainMELTS)  |  filter_bulk_composition_mismatch(TestMELTS),"per-chunk intermediates only (molar_chunk, Inmoles_chunk, etc., bounded by chunk_size); delete_chunks list of small index arrays",O(chunk_size x NCOMP) -- bounded,"aliases MetaTable.table1 = MetaTable.table, then builds component_moles.npy via retrieve_component_moles (see that row)","19.20 GB (component_moles.npy, freed at filters.py:504 right after use)","SAFE: explicit chunked design (filters.py:455-458 comment calls out exactly why -- avoiding full (n_rows, n_oxides/elements) materialization on an 80GB+ table)."
.resample_rare_phase(),"config-dependent: once per configured upsample phase (Train: upsampling.phases minus test_set_phases, line 292-307; Test: upsampling.phases.test_set_phases, line 428-440)",src/builder/processing/BigMetaTable.py,1177,"def resample_rare_phase(self, phase_column, multiplier_bounds, n_resamples, overwrite=False, chunk_size=None):",src/builder/processing/prepareML_fullvalid.py,"298, 431","TrainMELTS.resample_rare_phase(TrainMELTS.indexer.MELTS_indices[phase_name]['mass (gm)'], ...)","rare_mask_chunks (list of bool chunks, reassembled to one (old_rows,) bool array at the end)","0.08 GB for the reassembled rare_mask, plus O(chunk_size x n_resamples) per-chunk work","new_table / new_binary_table memmaps, shape (old_rows + n_rare*n_resamples, C)",>= 48.00 GB (grows with how common the 'rare' phase turns out to be),"SAFE by design: BigMetaTable.py:1188-1215 comment explicitly documents this was rewritten from a full-table boolean-mask materialization (broke when a 'rare' phase wasn't actually rare, e.g. olivine) to a two-pass chunked approach bounded by O(chunk_size * n_resamples)."
balance_lowF / balance_geodynamics / balance_Superliquidus_fxtal (balance_function slot),"0-2x -- exactly one of the three runs per pipeline execution (config: balancing.function), called once for Train and once for Test if configured",src/builder/processing/filters.py,62 / 268 / 173,"def balance_lowF(MetaTable, indexer=None, sacred_phases=None, batch_size=200_000): / def balance_geodynamics(...): / def balance_Superliquidus_fxtal(...):",src/builder/processing/prepareML_fullvalid.py,"311, 445",balance_function(TrainMELTS)  |  balance_function(TestMELTS),"melt_mass (N,) float32/64 plus a full (N, NPHASE) temporary from `MetaTable.table[:, mass_indices]` in one shot (filters.py:101-103, 213, 307-309 -- identical pattern in all three)",6.72 GB -- NOT chunked,"none directly (ends in .delete(), see that row)",0 GB,"MODERATE-HIGH: unlike almost everything else in this pipeline, these three functions read `MetaTable.table[:, mass_indices]` across ALL rows in one fancy-indexing call, materializing a full (N, NPHASE) array before summing -- ~6.4GB @ 80M rows/20 phases. batch_size is accepted as a parameter but never actually used to chunk this read (see docstring: 'not currently used but kept for compatibility')."
