# Training-pipeline memory/storage audit for main.py's orchestration of loadTrainData.py / trainer.py / tuners.py / NN.py.
"# Sizing assumptions: N_TRAIN=80,000,000 rows (carried from the BigMetaTable audit); N_TEST=16,000,000 rows (illustrative only, NOT given -- real Test bundle size depends on the Validation table's size before prepareML.py's 70/30 split)."
"# NCOMP=60, NPHASE=20, NEL=14, FEATURE_OFFSET=3 (features width=17) carried from the BigMetaTable audit for comparability."
"# batch_size=1024, epochs=20, device=cuda from src/builder/training/config/defaults.yaml. Model ~389,668 float32 params (~1.56 MB) computed from that config's default architecture (encoderLayerUp=1/Down=0, middleLayerUp=2/Down=1), assuming ~10 compositionally-variable phases averaging 6 components each for the chem-head layer (this last figure is NOT given by the user, a rough fill-in)."
"# dtype: dataset tensors and model/optimizer state are float32 (4 bytes). GB = 1e9 bytes (decimal), matching the prior audit's convention."
"# 'Def File/Line/Code' = where the operation is implemented. 'Call File/Line(s)/Code' = the nearest actual invocation site in the codebase (main.py, tuners.py, or trainer.py depending on nesting level)."
"# Headline difference from the processing-pipeline audit: here the ENTIRE Train+Test dataset is deliberately held fully in CPU RAM for the whole run (by design, for fast shuffled minibatch access across many epochs) -- roughly 37 GB (train) + 7 GB (test) at N_TRAIN/N_TEST above -- while the model and optimizer state are only ~1.5-5 MB combined. The dataset-loading transients in Section A are the only real inefficiencies found; everything in the training loop itself (Section D) is correctly bounded by batch_size."
# Generated 2026-07-09.
""
Operation,Frequency / Count (per full main.py run),Def File,Def Line,Def Code,Call File,Call Line(s),Call Code,"In-RAM Products (name: shape, dtype)",In-RAM Peak Footprint,"On-Disk Products (name: shape, dtype)",On-Disk Footprint,Notes / Memory Risk
load_ml_bundle() -- extract tar.gz + full np.load of every array,"2x (train_bundle, test_bundle)",src/ngibbs/utils/file_utils.py,394,def load_ml_bundle(bundle_path):,src/builder/training/loadTrainData.py,70,train_data = load_ml_bundle(f'{Trainpath}.tar.gz'),"MLDataBundle holding: features (N,17), binary_labels (N,20), labels (N,60), molar_labels (N,20), mass_labels (N,20) -- ALL via plain np.load (no mmap_mode), plus ml_indexer state","43.840 GB for train_bundle alone (N=80M); 8.768 GB for test_bundle (N=16M, illustrative)","none (extracted to a temp dir under data/tmp/, deleted in the `finally` block once arrays are loaded)",0 GB steady-state (transient extraction only),"INTENTIONAL, not a bug: unlike the processing pipeline, training genuinely needs the whole dataset resident for fast shuffled random-batch access across many epochs, so full (not memmapped) loading is the right design here. Flagged only so the RAM budget is visible: this is the single largest number in this entire audit. Note mass_labels is loaded here but never read out of the bundle by load_ML_data below -- pure dead weight for the lifetime of this call."
torch.tensor(featureMap) + Normalizer (min/max over physical features only),"2x (train, test)",src/builder/training/loadTrainData.py,125-147,"Trainnormfeatures = normf.norm(torch.tensor(featureMap, device='cpu', dtype=torch.float))",src/builder/training/loadTrainData.py,"130, 147-149","feature_tensor = torch.tensor(featureMap[:, :n_physical_features], ...)  /  Trainnormfeatures = normf.norm(...)  /  del featureMap; gc.collect()","Trainnormfeatures (N,17) float32 CPU tensor; transient feature_tensor (N,3) float32 during min/max calc; transient numpy featureMap (N,17) float32 until `del`",5.440 GB steady-state (train); 1.088 GB (test) -- briefly ~2x this while the numpy array and its torch.tensor() copy coexist,none,0 GB,"SAFE: the numpy source is deleted and gc.collect() called immediately after, so only one extra full-size copy exists transiently, not accumulated."
torch.tensor(binaryMap) -> Trainbinaryfeatures,"2x (train, test)",src/builder/training/loadTrainData.py,151,"Trainbinaryfeatures = torch.tensor(binaryMap, device='cpu', dtype=torch.float)",src/builder/training/loadTrainData.py,151-153,"Trainbinaryfeatures = torch.tensor(binaryMap, ...)  /  del binaryMap; gc.collect()","Trainbinaryfeatures (N,20) float32 CPU tensor; transient numpy binaryMap (N,20) float32 until `del`",6.400 GB steady-state (train); 1.280 GB (test),none,0 GB,SAFE: same immediate-delete pattern as featureMap above.
torch.tensor(labelMap) @ PxSpTransform -> Trainlabels,"2x (train, test)",src/builder/training/loadTrainData.py,155,"Trainlabels = torch.tensor(labelMap, ...) @ torch.tensor(PxSpTransform[np.ix_(...)], ...)",src/builder/training/loadTrainData.py,155-159,"Trainlabels = torch.tensor(labelMap, device='cpu', dtype=torch.float) @ torch.tensor(PxSpTransform[...], dtype=torch.float)  /  del labelMap; gc.collect()","Trainlabels (N,60) float32 CPU tensor (result); transient torch.tensor(labelMap) (N,60) float32 during the matmul; transient numpy labelMap (N,60) float32 until `del`","19.200 GB steady-state, ~3x that (57.600 GB) transiently while numpy labelMap + its torch.tensor() copy + the matmul result all exist at once (train); 3.840 GB steady-state (test)",none,0 GB,"NOT CHUNKED: this is a single whole-array matmul, unlike every matmul in the processing pipeline (which are all chunked). At NCOMP=60 the transient triple-materialization here is the single largest short-lived spike in load_ML_data - worth chunking if this ever needs to run on hardware with less headroom than the steady-state dataset itself requires."
torch.tensor(moleMap) [+ optional log10 transform] -> Trainmoles,"2x (train, test)",src/builder/training/loadTrainData.py,161-166,"Trainmoles = torch.tensor(np.log10(moleMap+molar_epsilon), ...)  or  torch.tensor(moleMap, ...)",src/builder/training/loadTrainData.py,161-168,"Trainmoles = torch.tensor(moleMap, device='cpu', dtype=torch.float)  /  del moleMap; gc.collect()","Trainmoles (N,20) float32 CPU tensor; transient numpy moleMap (N,20) float32 (plus one more full-size numpy temporary from `moleMap+molar_epsilon` if log-scaling is enabled) until `del`",6.400 GB steady-state (train); 1.280 GB (test),none,0 GB,"molar_epsilon=0 by default in loadTrainData.py:33, so the log10 branch (and its extra numpy temporary) is normally skipped. SAFE either way: numpy source deleted immediately."
OOB detection + goodMap boolean filtering of all 4 tensors,"2x (train, test)",src/builder/training/loadTrainData.py,268-281,OOB = ((Trainlabels > 1).to(float) + (Trainlabels < 0).to(float)).to(bool),src/builder/training/loadTrainData.py,275-278,Trainnormfeatures = Trainnormfeatures[goodMap]  /  Trainbinaryfeatures = Trainbinaryfeatures[goodMap]  /  Trainlabels = Trainlabels[goodMap]  /  Trainmoles = Trainmoles[goodMap],"OOB/badMap/goodMap: (N,) bool/float tensors (cheap); each `tensor[goodMap]` fancy-index allocates a NEW full-size tensor while the OLD one is still referenced until the reassignment completes","~2x each tensor's steady-state size, one at a time as each line executes (not all 4 at once): worst case is Trainlabels at 38.400 GB during its own reassignment",none,0 GB,"NOT CHUNKED: boolean-mask fancy indexing on the whole tensor, same pattern as the BigMetaTable-side bugs fixed earlier this session but here on CPU torch tensors rather than memmaps. Each reassignment (`X = X[goodMap]`) frees the old tensor once the new one is bound, so peak extra RAM is one tensor's worth at a time, not all four simultaneously."
TensorDatasetFour / TensorDatasetFive construction,"2x (train, test)",src/builder/training/torchDataClass.py,32 / 50,"class TensorDatasetFour(torch.utils.data.Dataset): def __init__(self, features, binarylabels, labels, molelabels):",src/builder/training/loadTrainData.py,284-298,"full_train_set = TensorDatasetFour(features=Trainnormfeatures, binarylabels=Trainbinaryfeatures, labels=Trainlabels, molelabels=Trainmoles)",none beyond what's already resident -- just stores references to the 4 tensors built above,0 GB extra,none,0 GB,"SAFE: no copying, just wraps existing tensors for DataLoader/Dataset protocol."
Model Architecture (MidLevelNetwork: encoder + sat_head + middleBrain + mole_head + chem_heads),"1x fresh build (or 1x rebuild per model_config_changed episode boundary, main.py:422-433)",src/ngibbs/engine/NN.py,"402-485 (TunableModel.__init__ 138, finish_build 294, MidLevelNetwork.__init__ 403)","class MidLevelNetwork(TunableModel): def __init__(self, encoderLayerUp=0, ..., middleLayerDown=0, ...):",src/builder/training/main.py,381,"best_model = NN.MidLevelNetwork(**model_config, ml_indexer=ml_indexer)","~389,668 float32 parameters (default architecture: encoder 9.5K, sat_head 41.6K, middleBrain 305.4K, mole_head 17.7K, chem_heads ~15.4K -- see module docstring for the assumed 10-phase/6-component chem-head fill-in) + small schema-sized buffers (compToOx/OxToEl/phaseToCompMap/etc., bounded by NCOMP x NOX, not row count)",~1.56 MB (parameters only; buffers add well under 1 MB more),none directly (see model.save() row below),0 GB,Tiny relative to the dataset tensors above -- this is the one line item in the whole training pipeline where model size is NOT the concern. middleBrain dominates parameter count because its two up-layers roughly double width each time (128->256->512).
NN.rebuild_MELTS_model() -- warm start / episode-boundary reload from checkpoint,"1x at startup if warm_start != 'none' (main.py:362); 1x per completed train episode (main.py:599, 675, for next episode's warm-start); 1x per completed tune episode is avoided (kept in memory, main.py:572)",src/ngibbs/engine/NN.py,1181,"def rebuild_MELTS_model(DictFilePath, substitutions=None, low_only=False, ml_indexer=None, epsilon=None, load_prefixes=None):",src/builder/training/main.py,"362, 599, 675",best_model = NN.rebuild_MELTS_model(...),"one fresh MidLevelNetwork (~1.56 MB, see row above) built on CPU (`map_location='cpu'`) before any `.to(device)` call",~1.56 MB (transient: old `best_model` is dereferenced and GC'd once the new one is bound),reads the .tar/.zip checkpoint written by model.save() (see that row for contents),n/a (read-only),SAFE: model is small enough that rebuilding it on every episode boundary is inconsequential next to the dataset tensors that stay resident the whole run.
_load_trial_model() -- fresh model per hyperparameter trial,"Once per trial value per tuned parameter per tune episode: e.g. defaults.yaml-style Param_Dict has ~4-6 parameters x ~3-6 trial values each => roughly 15-30 calls per tune1/tune2/... episode, config-dependent (not statically countable)",src/builder/training/tuners.py,32,"def _load_trial_model(bundle_path, ml_indexer, substitutions=None, low_only=False, load_prefixes=None): return NN.rebuild_MELTS_model(...)",src/builder/training/tuners.py,"129-138, 193-199, 227-233, 270-276, 425-431, 493-497, 535-539","Model = _load_trial_model(anchor_bundle, ml_indexer, substitutions={...}, low_only=True, load_prefixes=['encoder.', 'sat_head.'])",one fresh MidLevelNetwork per trial (~1.56 MB or smaller/larger depending on the encoderLayerUp/Down or middleLayerUp/Down substitution being tested),"~1.56 MB transiently per trial (previous trial's model/optimizer are dereferenced, not explicitly `del`'d -- see Notes)",reads Temp_Lower_Anchor.pt / Temp_Upper_Anchor.pt (written by _save_anchor_bundle below),n/a (read-only),"No explicit `del`/`torch.cuda.empty_cache()` between trials. On CPU this is harmless (refcounting frees the old model as soon as the variable is reassigned). On GPU, PyTorch's caching allocator keeps freed blocks for reuse rather than returning them to the driver, so nvidia-smi may show memory 'staying high' across dozens of trials -- expected caching behavior, not a leak, given each trial model is only ~1.56 MB anyway."
